Nr	Issue-ID	Bereich	Todo	Unterpunkt / Detail	Status	Priorität	Owner	Nächster Schritt	Nachweis / Code-Doku	Eröffnet am	Zieldatum	Letztes Update	Blocker / Entscheid	Kommentar
9	ISS-004	Sales Database TR ES	TR ES Datenqualität	Dachthema, Unterpunkte 4.1 bis 4.3	Läuft	Mittel	Ingo / Spanien	Unterpunkte einzeln abarbeiten	docs/FINANCE_ISSUE_LOG_ANDREAS_2026-07-28.md §1; docs/FINANCE_ES_BUCHUNGSDATUM_2026-08-03.md	28.07.2026		12.08.2026		Spanien hat 5'712 Zeilen. Der aktuelle Datenzufluss funktioniert, letzter Beleg 10.08.2026. Die offenen Punkte betreffen die Vergangenheit und das Buchungsdatum.
10	ISS-004.1	TR ES Sales	Daten für TR ES Januar bis Mai 2026 fehlen		Offen	Mittel	Ingo	Range-Export 01.01.2026 bis 27.05.2026 nachziehen. Hängt NICHT an einer Antwort aus Spanien, die Sage-Export-SQL ist unsere	SageSpainExportPackage/; Spain_Sales_range_20260528_to_20260603.csv	28.07.2026		12.08.2026		Am 12.08.2026 unverändert bestätigt: Januar bis April 0 Zeilen, Mai nur 35, danach normal mit Juni 542 und Juli 503. Deckt sich mit der Messung vom 11.08. Der laufende Monat ist hier bewusst nicht ausgewiesen, weil die Monatsabgrenzung für ES über InvoiceDate läuft (PostingDate ist zu 100 % leer) und deshalb nicht mit der Finance-Jahresabgrenzung gleichgesetzt werden darf. Ursache der Lücke ist der vorhandene Teilexport ab dem 28.05.
11	ISS-004.2	Sales Database TR ES	Posting Date fehlt bei TR ES	247 Zeilen haben gar kein Datum	Offen	Mittel	Ingo / Spanien	FacturasTB im Exportskript joinen und FechaAsiento als PostingDate ausgeben, danach im ES-Mapping auf SalesRecord.PostingDate mappen	docs/FINANCE_ISSUE_LOG_ANDREAS_2026-07-28.md §1	28.07.2026		12.08.2026	Join-Schlüssel zu den Lieferscheinpositionen offen	PostingDate fehlt bei 5'712 von 5'712 ES-Zeilen (100 %), am 12.08.2026 erneut gemessen. Die Fallback-Kette PostingDate zu InvoiceDate rettet die meisten Zeilen, aber 247 Zeilen haben gar kein Datum und fallen aus jeder Jahres- und Monatsauswertung. Am 28.07. waren es 229, die Zahl wächst also. Sage hat das Buchungsdatum als FacturasTB.FechaAsiento, in der Stichprobe zu 100 % gefüllt. Offen sind der Join-Schlüssel und die Behandlung von Gutschriften. Nebenbefund: UK hat 16 Zeilen ohne jedes Datum, vorher 6. WICHTIGE KORREKTUR am 12.08.2026 gegenüber der Analyse vom 28.07.: diese Zeilen fallen NICHT aus der Auswertung heraus, sie sind schlimmer eingeordnet. Die Spalte Finance | Date im Gesamtexport nutzt die Fallback-Kette bis zum ExtractionDate, deshalb landen sie im Monat des Exportlaufs. Nachgerechnet: Spanien hat im August 2026 nach Belegdatum 86 Zeilen, im Export aber 336, Differenz genau 250; UK 91 gegenüber 107, Differenz genau 16. Der laufende Monat wird also um 266 Zeilen aufgeblasen, die fachlich in andere Perioden gehören.
12	ISS-004.3	Sales Database	Customer Country code is not standardized		Erledigt	Mittel	Ingo	Keine Aktion	Services/TransformationStrategies.cs, NormalizeCountryCodeTransformationStrategy	28.07.2026		12.08.2026		Am 12.08.2026 doppelt belegt: der Typ NormalizeCountryCodeTransformationStrategy ist in der ausgelieferten Server-DLL nachgewiesen, und die spanischen Klartextnamen sind aus den Produktivdaten verschwunden. TRES zeigt jetzt ISO-2-Codes, ES 3'955, BR 244, PT 233, PE 202, MX 195. Kein einziger ES-Wert ist länger als zwei Zeichen. Der Reimport hat also stattgefunden; der Punkt war in älteren Notizen noch als "Deploy und Reimport offen" geführt.
13	ISS-005	CH/AT Datenquelle	Report Z_TRAFAG_DACH_EXPORT auf P76 für s_gjahr 2025 nachziehen	Umstellung erledigt, 2025 ist vollständig	Erledigt	Mittel	Ingo	Keine Aktion. Der Batchjob aus ISS-001.1 hält 2026 künftig aktuell	.tmp_tools/OdataProbe (read-only, 12.08.2026)	28.07.2026		12.08.2026		TEILWEISE ERLEDIGT, hier war die Aufgabenbeschreibung überholt: Sites.SapServiceUrl steht bereits auf http://travp762.sap.trafag.com:8000/..., die Umstellung auf das Produktivsystem ist also durch. Offen ist nur noch der Reportlauf für 2025. Die Live-Abfrage am 12.08. zeigt für Gjahr 2025 in BEIDEN Systemen 30'642 Zeilen, Test und Produktiv sind für 2025 also gleich; der Unterschied liegt allein in 2026 mit 9'864 gegen 18'290. Auch in Sales_All ist 2025 vollständig: CH und AT haben alle zwölf Monate 2025 belegt, CH mit 2'406 bis 3'010 Zeilen je Monat. Der ursprünglich geplante Reportlauf für 2025 ist damit gegenstandslos, dieser Punkt war die vierte überholte Angabe des Tages.
14	ISS-006	CH/AT Journal	SAP-EntitySet FinanzJournalSet als Voraussetzung für das CH/AT-Journal		Offen	Mittel	SAP / Ingo	EntitySet in SAP aktivieren, danach Metadata und eine Datenantwort prüfen	docs/FINANCE_JOURNAL_SAP_ODATA_SPEZ_2026-07-14.md	14.07.2026		12.08.2026	Aktivierung in SAP	Die Spezifikation liegt vollständig vor. Gleiche Fehlerklasse wie die ZDISPO-Sets im Einkauf, die am 12.08.2026 aktiviert wurden und seither HTTP 200 liefern.
15	ISS-007	Kostenbasis / Bewertungsmethoden	Nach dem B1-Upgrade Import FR/IT/US/IN, StandardCost-Füllgrad und EvalSystem erneut prüfen	Unterpunkt 7.1 Italien	Läuft	Mittel	Ingo	Füllgrad je Standort gegen die Erwartung nach dem Upgrade bewerten und EvalSystem prüfen	docs/FINANCE_STANDARDKOSTEN_SITZUNG_ANDREAS_2026-07-27.md	27.07.2026		12.08.2026		Go-live war für den 03.08.2026 angekündigt. Die Importe laufen, alle Standorte haben ExtractionDate 11.08. Füllgrad Standardkosten am 12.08.2026 gemessen: FR 51,7 %, DE 68,7 %, ES 81,0 %, US 90,0 %, UK 93,5 %, IT 95,7 %, CH 96,6 %, IN 99,4 %, AT 99,9 %. Frankreich ist damit der Schwachpunkt. ACHTUNG bei eigenen Abfragen: StandardCost ist eine TEXT-Spalte, ein Vergleich StandardCost > 0 ist in SQLite immer wahr und liefert falsche 100 %. Nur mit CAST als REAL messen.
16	ISS-007.1	TR IT Kostenbasis	Moving Average und Cost-Run-Frage mit Paola abschliessen		Offen	Mittel	Paola / Ingo	Bewertung der Umstellung auf Moving Average mit Paola klären	docs/rag/FINANCE.md; docs/FINANCE_IT_VORGEHEN_2026-05-18.md	18.05.2026	Ende August 2026	12.08.2026		Für den ersten Schritt ist INV1.StockPrice als Kostenbasis freigegeben und davon unabhängig. Italien liegt beim Füllgrad mit 95,7 % gut.
17	ISS-008	Finance Reporting	Budget-CHF als Kontroll- und Reportinggrösse einführen		Offen	Niedrig	Finance / Andreas	Finance entscheidet Kurse und Freigabe, Pflegeprozess, Spaltenumfang, Fehlkursverhalten, Rundung und Anzeigeort	docs/FINANCE_BUDGET_CHF_FRAGEN_FINANZCHEF_2026-06-15.md	15.06.2026		12.08.2026	Sechs offene Entscheide bei Finance	Budget-CHF ist Kontroll- und Reportingkandidat, nicht Standardabgleich. Ohne diese sechs Entscheide ist keine Umsetzung sinnvoll.
18	ISS-009	Gruppenmarge	Fachfreigabe der Gruppenmarge als führender Abschlusswert		Offen	Mittel	Andreas / Finance	Freigabe erteilen oder die verbleibenden Vorbehalte benennen	docs/FINANCE_GRUPPENMARGE_2026-06-16.md; docs/FINANCE_ANZEIGE_PRUEFUNG_2026-08-06.md	16.06.2026		12.08.2026	Fachfreigabe	Bis zur Freigabe bleibt die Gruppenmarge Prüfsicht und nicht führender Finance-Abschlusswert. Voraussetzung ist im Wesentlichen ISS-003.
19	ISS-010	Finance Abgrenzung	Innenumsatz und Konzerngesellschaft als Kunde, Gefahr der Doppelzählung		Offen	Mittel	Andreas	Fachliche Antwort einholen, ob und wie Innenumsätze abzugrenzen sind	docs/FINANCE_TRIN_EIGENFERTIGUNG_2026-08-05.md Abschnitt 4a	05.08.2026		05.08.2026	Offene Frage an Andreas	Betrifft die Frage, ob eine Konzerngesellschaft als Kunde zu einer Doppelzählung im Gruppenumsatz führt.
20	ISS-011	TR UK Sales	Daten TR UK für 2025 fehlen		Erledigt	Hoch	Ingo	Nur Regression bei künftigen Exporten überwachen	docs/FINANCE_UK2025_WERTFEHLER_2026-08-10.md, Abschnitt Abnahme 11.08.2026	27.07.2026		11.08.2026		Am 11.08.2026 im zentralen Excel geprüft und abgenommen: UK 2025 = 3'529'861.80 GBP = 99,7 % des Finance-Solls 3'538'972, Marge +33,8 % statt −502,7 %, 1'867 Zeilen. Wichtig für die Historie: die Zeilen waren seit dem 28.07. vollständig, die BETRÄGE aber falsch, Stückpreis statt Zeilenwert und nur 11 % des Solls. UK ist zusätzlich das einzige Land mit 100 % gefüllten Lieferantenfeldern.
21	ISS-012	Datenhygiene	Verwaiste Legendenzeile TSC = "Subsidiary abbreviation / company identifier" entfernen	Erledigt in DB und Standort-CSVs, der Konsolidierungsschritt gibt sie weiter aus	Offen	Niedrig	App	Im Konsolidierungspfad finden, woher eine Zeile kommt, die in KEINER aktuellen Quelle steht. Verdacht: Uebernahme aus der zentralen Audit-CSV des Vortags statt Neuaufbau aus den Standort-CSVs. Pruefstelle Services/ConsolidatedExportService.cs	lastchange.md, Codefix 9c0451e; Nachweiskette .tmp_tools/FindXlsxRow gegen all8.xlsx sowie Zeilenvergleich DB, Standort-CSVs und zentrale Audit-CSV (12.08.2026)	10.08.2026		12.08.2026		Am 12.08.2026 read-only geprüft: CentralSalesRecords enthält genau neun TSC-Werte, TRAT, TRCH, TRDE, TRES, TRFR, TRIN, TRIT, TRUK und TRUS. Die Summe der Zeilen je TSC ergibt exakt den Gesamtbestand, es gibt also keinen Restbestand unter einem anderen TSC. Der Mechanismus ist geklärt und es brauchte KEIN manuelles DELETE: die Zeile lag in SiteId 5, also TRUK, und CentralSalesRecordService.ReplaceForSiteAsync löscht bei jedem Import alle Zeilen des Standorts. Der Filter in ManualExcelDataSourceAdapter verhindert seither das Wiedereinlesen. UK exportiert täglich, damit war die Zeile beim ersten Lauf nach dem Fix verschwunden. Ältere Notizen führen sie noch als offen, weil dort nur der Codefix, nicht die Löschwirkung des Reimports betrachtet wurde. ZURÜCKGEZOGEN am 12.08.2026, 16 Uhr: der Gesamtexport all8.xlsx von 14:39 enthält die Zeile wieder, mit genau einer Zeile unter dem TSC "Subsidiary abbreviation / company identifier". Damit ist mein Erledigt-Vermerk von heute Mittag nicht haltbar. Entweder ist die Zeile nach meiner DB-Messung erneut importiert worden, oder der Gesamtexport speist sich für UK aus einer Standort-CSV beziehungsweise Manual-Import-Datei, in der die Zeile noch steht und auf die der Filter nicht wirkt. AUFGELÖST am 12.08.2026 nach Rückkehr der Freigabe, mit vier Messungen: (1) CentralSalesRecords hat genau neun TSC-Werte und 97'537 Zeilen, die Legendenzeile ist NICHT drin; (2) alle acht Standort-CSVs vom 12.08. summieren sich auf exakt 97'537 und enthalten keinen einzigen Treffer; (3) die zentrale Audit-CSV Finance_Dashboard_Audit_All_2026-08-12.csv hat 97'538 Zeilen und enthält sie; (4) all8.xlsx ebenfalls 97'538. Die Differenz ist exakt eine Zeile, es gibt also keine breitere Verunreinigung. Die Zeile trägt extraction date 28.07.2026 16:11:31, ist damit ein Überrest des UK-Backfills und kein neuer Import. Sie kommt erst im Konsolidierungsschritt hinzu, obwohl sie in keiner aktuellen Quelle steht. Wertmässig harmlos: alle Betragsfelder 0 und Finance | Include = FALSE, sie verfälscht also keine Finanzzahl. Wirkung bleibt kosmetisch: in jeder Gruppierung über all8.xlsx oder die zentrale Audit-CSV erscheint ein zehnter Phantom-Standort, in den DB-basierten Sichten der Anwendung nicht.
22	ISS-013	Gesamtexport / Spaltenumfang	Sales Type und Trafag-Sachnummer fehlen im Gesamtexport	Führt beim Lesen in Excel zur Fehleinschätzung Indiens	Offen	Mittel	App	Beide Felder in den konsolidierten Export aufnehmen, danach die Indien-Quote im Excel gegen die App gegenprüfen	Spaltenscan mit .tmp_tools/IssueLogFacts --headers gegen all8.xlsx; Services/ExcelExportService.cs	12.08.2026		12.08.2026		Neu gefunden am 12.08.2026 beim Prüfen von all8.xlsx. Der Spaltenscan des Exports kennt Supplier number, name und country, Standard cost und Product Group, aber KEINE Spalte für Sales Type und keine Trafag-Sachnummer, obwohl CentralSalesRecords beide seit dem 05.08.2026 führt. Folge: wer die Lieferantenvollständigkeit in diesem Excel beurteilt, sieht Indien bei 11,8 % und schliesst auf eine grosse Pflegelücke. Die Anwendung klassifiziert intern aber 94,1 % der indischen Zeilen über den Sales Type. Genau diese Fehleinschätzung hat am 05.08. schon zu einer gegenstandslosen Pflegebitte an Indien geführt. Solange die Spalte im Export fehlt, wiederholt sich das bei jeder Excel-Auswertung.
23	ISS-014	Marktsegmente / Railway	Bahnumsatz in Sales_All ausweisen	Neue Anforderung Ingo, 12.08.2026	Offen, Vorfrage	Mittel	App / Vertrieb	Zwei Fachentscheide zuerst: (1) wird Railway am KUNDEN oder an der Anwendung bestimmt? (2) welcher Schlüssel wird gepflegt, Kundennummer je Standort oder Customer Industry in den Quellsystemen? Danach eine gepflegte Zuordnungstabelle auf Kundennummer aufbauen, keinen Namensabgleich zur Laufzeit	.tmp_tools/RailwayMappingCheck gegen all8.xlsx und Railway_MarketSurvey_TSC_2026_05.xlsx (read-only, 12.08.2026)	12.08.2026		12.08.2026	Fachentscheid vor Umsetzung	Railway_MarketSurvey_TSC_2026_05.xlsx ist eine MARKTUMFRAGE, keine Mappingtabelle. 269 Zeilen, 234 verschiedene Kundennamen, 12 Länder. Entscheidend: die Spalte Material Number ist in 0 von 269 Zeilen gefüllt, die Spalte No ebenfalls leer, und das Produktkürzel steht nur in 90 von 269 Zeilen und ist eine Familienbezeichnung wie EPR, NAR, 9B4 oder CMP 8270, keine Materialnummer. Eine Kundennummer fehlt ganz. Auf der Artikelseite gibt es also keinen Schlüssel, der auf Verkaufszeilen passt; der einzige Kandidat ist der Kundenname plus Land. Namensabgleich gemessen: 47 exakte und 104 Teilstring-Treffer, also 151 von 234, dahinter 3'165 von 90'203 Zeilen. Der Teilstring-Weg produziert aber nachweislich Fehltreffer, etwa BROT auf K.S. & BROTHERS, Stadler Rail CH und Stadler US beide auf Stadler Rail Valencia, sowie Siemens und Siemens Mobility beide auf Siemens SA. Deshalb gehört der Abgleich einmal kuratiert und dann als Kundennummer festgehalten. Zweiter Grund für die Vorfrage: die Umfrage enthält laut Spalte Status 25 Zeilen No Potential, 19 Opportunity und 12 New, beschreibt also auch Nicht-Kunden. Marktpotenzial und Ist-Umsatz sind verschiedene Grundmengen.
24	ISS-014.1	Marktsegmente / Customer Industry	Vorhandene Spalte Customer Industry ist praktisch ungepflegt	Bestehendes Feld, könnte Zielspalte werden	Offen	Mittel	App / Standorte	Für CH prüfen, ob die SAP-Quelle ZSCHWEIZ ein Branchenfeld liefert, und es mappen. Für die B1-Standorte klären, wer die Branche pflegt	Spaltenscan und Füllgradmessung mit .tmp_tools/RailwayMappingCheck (12.08.2026)	12.08.2026		12.08.2026		Sales_All hat bereits die Spalte Customer Industry, sie ist aber fast leer: TRFR 210 von 2'598 Zeilen (8,1 %), TRIN 21 von 7'179 (0,3 %), TRIT 8 Zeilen, und CH, AT, DE, ES, UK sowie US stehen bei 0,0 %. Es gibt nur acht verschiedene Werte, dominiert von Ship Building mit 150 Zeilen und Hydrogen mit 42. Der Wert Railway existiert und steht auf genau 6 Zeilen. Das Feld ist damit die fachlich richtige Zielspalte, taugt heute aber nicht als Quelle. Besonders relevant ist CH mit 48'276 von 97'537 Zeilen und 0 % Füllgrad.
